source,date,rating,text
App Store,2025-11-01,1,"I can't export more than 50 items at a time. This is completely unusable for our team of 200."
App Store,2025-11-03,2,"Bulk export has been requested for 2 years. Still not there."
App Store,2025-11-10,1,"No bulk export = switching to competitor next month."
G2,2025-10-28,2,"The export limit is a dealbreaker for enterprise use."
G2,2025-11-05,3,"Would be great to export everything at once instead of page by page."
Typeform,2025-11-12,,"Our team wastes 2 hours a week manually exporting in batches."
App Store,2025-11-02,3,"The mobile app crashes every time I try to upload a PDF over 10MB."
App Store,2025-11-07,1,"Crashed 4 times today on iOS 17. Unusable."
G2,2025-10-30,2,"PDF uploads are unreliable. Lost work twice."
App Store,2025-11-09,2,"Upload bugs are killing my productivity."
Typeform,2025-11-11,,"PDF support is broken on the latest iOS update."
App Store,2025-11-01,4,"Would love dark mode. Eyes hurt after long sessions."
App Store,2025-11-06,4,"Please add dark mode! Would use this so much more at night."
G2,2025-11-02,3,"Dark mode would be a nice quality of life improvement."
App Store,2025-11-08,5,"Love the app but dark mode is the one missing thing."
App Store,2025-10-29,2,"Notifications are completely broken. I miss deadlines because of this."
G2,2025-11-04,2,"Notification system is unreliable. Critical for our workflow."
Typeform,2025-11-13,,"Missed 3 deadlines because notifications didn't fire. This is a serious bug."
App Store,2025-11-10,1,"How is the notification system still broken after the last update?"
App Store,2025-11-05,3,"Can you add calendar sync? Would be amazing to see tasks in Google Calendar."
G2,2025-10-31,4,"Calendar integration would make this a 5-star product."
App Store,2025-11-08,4,"Would love Google Calendar or Outlook sync."
